"scenario","year","variable","value","units","run_number"
"SSP2-4.5",1850,"NPP",55.4786009325957,"Pg C/yr",1
"SSP2-4.5",1851,"NPP",55.4647677558503,"Pg C/yr",1
"SSP2-4.5",1852,"NPP",55.4507543325316,"Pg C/yr",1
"SSP2-4.5",1853,"NPP",55.4368349698074,"Pg C/yr",1
"SSP2-4.5",1854,"NPP",55.4447548728314,"Pg C/yr",1
"SSP2-4.5",1855,"NPP",55.4500144241136,"Pg C/yr",1
"SSP2-4.5",1856,"NPP",55.4533370642187,"Pg C/yr",1
"SSP2-4.5",1857,"NPP",55.455992003929,"Pg C/yr",1
"SSP2-4.5",1858,"NPP",55.458660124568,"Pg C/yr",1
"SSP2-4.5",1859,"NPP",55.4595681242338,"Pg C/yr",1
"SSP2-4.5",1860,"NPP",55.4597430191806,"Pg C/yr",1
"SSP2-4.5",1861,"NPP",55.4603329216217,"Pg C/yr",1
"SSP2-4.5",1862,"NPP",55.4611754618734,"Pg C/yr",1
"SSP2-4.5",1863,"NPP",55.4613768611135,"Pg C/yr",1
"SSP2-4.5",1864,"NPP",55.4550196495631,"Pg C/yr",1
"SSP2-4.5",1865,"NPP",55.447138940364,"Pg C/yr",1
"SSP2-4.5",1866,"NPP",55.442235976411,"Pg C/yr",1
"SSP2-4.5",1867,"NPP",55.4398402885652,"Pg C/yr",1
"SSP2-4.5",1868,"NPP",55.4384860454905,"Pg C/yr",1
"SSP2-4.5",1869,"NPP",55.4374688596284,"Pg C/yr",1
"SSP2-4.5",1870,"NPP",55.4360384261474,"Pg C/yr",1
"SSP2-4.5",1871,"NPP",55.4343744330871,"Pg C/yr",1
"SSP2-4.5",1872,"NPP",55.4321922616758,"Pg C/yr",1
"SSP2-4.5",1873,"NPP",55.4300494609044,"Pg C/yr",1
"SSP2-4.5",1874,"NPP",55.442762825474,"Pg C/yr",1
"SSP2-4.5",1875,"NPP",55.4529604027596,"Pg C/yr",1
"SSP2-4.5",1876,"NPP",55.4611848988813,"Pg C/yr",1
"SSP2-4.5",1877,"NPP",55.4696095954968,"Pg C/yr",1
"SSP2-4.5",1878,"NPP",55.4775445514058,"Pg C/yr",1
"SSP2-4.5",1879,"NPP",55.4851835071821,"Pg C/yr",1
"SSP2-4.5",1880,"NPP",55.4923671616646,"Pg C/yr",1
"SSP2-4.5",1881,"NPP",55.4995204567129,"Pg C/yr",1
"SSP2-4.5",1882,"NPP",55.5069446213541,"Pg C/yr",1
"SSP2-4.5",1883,"NPP",55.514502460729,"Pg C/yr",1
"SSP2-4.5",1884,"NPP",55.5201702646797,"Pg C/yr",1
"SSP2-4.5",1885,"NPP",55.5227780295982,"Pg C/yr",1
"SSP2-4.5",1886,"NPP",55.5123079534087,"Pg C/yr",1
"SSP2-4.5",1887,"NPP",55.4861978293058,"Pg C/yr",1
"SSP2-4.5",1888,"NPP",55.4685839000936,"Pg C/yr",1
"SSP2-4.5",1889,"NPP",55.4565667336753,"Pg C/yr",1
"SSP2-4.5",1890,"NPP",55.4485264560655,"Pg C/yr",1
"SSP2-4.5",1891,"NPP",55.4416820485021,"Pg C/yr",1
"SSP2-4.5",1892,"NPP",55.4354434306012,"Pg C/yr",1
"SSP2-4.5",1893,"NPP",55.4277187927833,"Pg C/yr",1
"SSP2-4.5",1894,"NPP",55.4198305742817,"Pg C/yr",1
"SSP2-4.5",1895,"NPP",55.4125167164041,"Pg C/yr",1
"SSP2-4.5",1896,"NPP",55.4062792292235,"Pg C/yr",1
"SSP2-4.5",1897,"NPP",55.4007496695966,"Pg C/yr",1
"SSP2-4.5",1898,"NPP",55.3952541693169,"Pg C/yr",1
"SSP2-4.5",1899,"NPP",55.3900341733539,"Pg C/yr",1
"SSP2-4.5",1900,"NPP",55.3852029842381,"Pg C/yr",1
"SSP2-4.5",1901,"NPP",55.3816040225086,"Pg C/yr",1
"SSP2-4.5",1902,"NPP",55.3783856093191,"Pg C/yr",1
"SSP2-4.5",1903,"NPP",55.3756846142476,"Pg C/yr",1
"SSP2-4.5",1904,"NPP",55.3721067013647,"Pg C/yr",1
"SSP2-4.5",1905,"NPP",55.3645753105744,"Pg C/yr",1
