"run_number","value","variable","BETA"
1,68.0127900480101,"NPP",0.629240949062309
2,69.9192620384638,"NPP",0.73839990772411
3,69.6429513290647,"NPP",0.720289979215713
4,68.5101938115469,"NPP",0.65772979338255
5,67.3141980827965,"NPP",0.596194217732068
6,68.2591465105802,"NPP",0.643194035919297
7,70.8959833592343,"NPP",0.808972470689893
8,66.6149829265738,"NPP",0.56008151333621
9,68.6355779043892,"NPP",0.665113634660368
10,69.4923339243439,"NPP",0.710625010655263
11,65.8639914124981,"NPP",0.523443703166092
12,67.3412147829798,"NPP",0.597631244718568
13,71.0702352883216,"NPP",0.888357891929044
14,67.3462362996819,"NPP",0.597898695569381
15,63.8849528787138,"NPP",0.417803640002401
16,70.8654791022185,"NPP",0.872312843402963
17,67.2102065099733,"NPP",0.590692706991211
18,70.2622418385967,"NPP",0.826611032835706
19,70.8730928120712,"NPP",0.807168694891633
20,68.1118052998679,"NPP",0.634812720638992
21,66.4990094121782,"NPP",0.554284191734439
22,67.1432462671192,"NPP",0.58717509398368
23,66.9523620352389,"NPP",0.577252096723007
24,68.4462692199176,"NPP",0.653997428713974
25,64.9147407561478,"NPP",0.467517357145662
26,68.7046401236911,"NPP",0.669216872129349
27,67.6525423887861,"NPP",0.614426913530035
28,69.5416342019093,"NPP",0.713772862739458
29,69.5548881106747,"NPP",0.714621724022087
30,66.8788995759296,"NPP",0.573473811002267
31,68.3328483722379,"NPP",0.647427640640169
32,69.2751980478496,"NPP",0.696938586200072
33,70.2890755010638,"NPP",0.828578327895781
34,70.661905694009,"NPP",0.85648660749892
35,67.3899511958014,"NPP",0.600231709964534
36,66.8850108266176,"NPP",0.573787272353784
37,71.0510884450326,"NPP",0.820784757003641
38,69.4557511878286,"NPP",0.708298942701718
39,70.1023714974172,"NPP",0.750682082519017
40,65.3627006213211,"NPP",0.51528109741215
41,69.0658417144797,"NPP",0.691109433069751
42,69.0023368563517,"NPP",0.68720668037108
43,69.3415686767732,"NPP",0.701091639236048
44,68.3890990220096,"NPP",0.650677564626579
45,70.5892262884063,"NPP",0.785801685895539
46,69.089655738175,"NPP",0.692578985613759
47,70.3121652651473,"NPP",0.765498218070672
48,66.4912735606059,"NPP",0.553899357557755
49,68.6580003696222,"NPP",0.666442993777449
50,69.7798792552078,"NPP",0.729202050927328
1,668.293129537471,"veg_c",0.629240949062309
2,686.218942328959,"veg_c",0.73839990772411
3,683.553871749911,"veg_c",0.720289979215713
4,673.005854632401,"veg_c",0.65772979338255
5,661.973425646205,"veg_c",0.596194217732068
6,670.623952609726,"veg_c",0.643194035919297
7,696.02151261209,"veg_c",0.808972470689893
8,655.434989449126,"veg_c",0.56008151333621
9,674.198074720627,"veg_c",0.665113634660368
10,682.105216556007,"veg_c",0.710625010655263
11,648.460637145201,"veg_c",0.523443703166092
12,662.226980542924,"veg_c",0.597631244718568
13,702.757247201371,"veg_c",0.888357891929044
14,662.274115809313,"veg_c",0.597898695569381
15,625.873933012942,"veg_c",0.417803640002401
16,700.806813220474,"veg_c",0.872312843402963
17,660.998105081395,"veg_c",0.590692706991211
18,695.031294625943,"veg_c",0.826611032835706
19,695.781993201525,"veg_c",0.807168694891633
20,669.229160091778,"veg_c",0.634812720638992
21,654.35479710779,"veg_c",0.554284191734439
22,660.370639607484,"veg_c",0.58717509398368
23,658.584225004897,"veg_c",0.577252096723007
24,672.398694574247,"veg_c",0.653997428713974
25,637.138584377845,"veg_c",0.467517357145662
26,674.855506350069,"veg_c",0.669216872129349
27,665.153956281485,"veg_c",0.614426913530035
28,682.579080019132,"veg_c",0.713772862739458
29,682.706525317072,"veg_c",0.714621724022087
30,657.897616236326,"veg_c",0.573473811002267
31,671.322515919049,"veg_c",0.647427640640169
32,680.021717688419,"veg_c",0.696938586200072
33,695.286832320416,"veg_c",0.828578327895781
34,698.844274823714,"veg_c",0.85648660749892
35,662.684555489254,"veg_c",0.600231709964534
36,657.954715495609,"veg_c",0.573787272353784
37,697.576366988287,"veg_c",0.820784757003641
38,681.753786209019,"veg_c",0.708298942701718
39,687.99053496805,"veg_c",0.750682082519017
40,645.116998162041,"veg_c",0.51528109741215
41,678.302807670967,"veg_c",0.691109433069751
42,677.695623469782,"veg_c",0.68720668037108
43,680.657956802243,"veg_c",0.701091639236048
44,671.856067678419,"veg_c",0.650677564626579
45,692.901822747778,"veg_c",0.785801685895539
46,678.530621136817,"veg_c",0.692578985613759
47,690.089987301827,"veg_c",0.765498218070672
48,654.282786457228,"veg_c",0.553899357557755
49,674.411464595385,"veg_c",0.666442993777449
50,684.873343941457,"veg_c",0.729202050927328
1,2195.00636772463,"soil_c",0.629240949062309
2,2248.96993770549,"soil_c",0.73839990772411
3,2240.88795478933,"soil_c",0.720289979215713
4,2209.18540742816,"soil_c",0.65772979338255
5,2176.2218418128,"soil_c",0.596194217732068
6,2202.01464469157,"soil_c",0.643194035919297
7,2278.81555950905,"soil_c",0.808972470689893
8,2156.66227064493,"soil_c",0.56008151333621
9,2212.77806091055,"soil_c",0.665113634660368
10,2236.50031282351,"soil_c",0.710625010655263
